yahoo_symbol,exchange_symbol,name,stage,reasons
DTR.AX,DTR,Dateline Resources Limited,financial_data,insufficient_annual_history:2
DTZ.AX,DTZ,Dotz Nano Limited,market_cap,below_min_market_cap:17914208
DUB.AX,DUB,Dubber Corporation Limited,market_cap,below_min_market_cap:15468251
DUN.AX,DUN,Dundas Minerals Limited,market_cap,below_min_market_cap:6870612
DVL.AX,DVL,dorsaVi Ltd,market_cap,below_min_market_cap:21134177
DVP.AX,DVP,Develop Global Limited,financial_data,ttm_ebitda_not_positive
DWG.AX,DWG,DataWorks Group Limited,market_cap,below_min_market_cap:9184877
DXB.AX,DXB,Dimerix Limited,financial_data,ttm_ebitda_not_positive
DXN.AX,DXN,DXN Limited,financial_data,ttm_ebitda_not_positive
DXS.AX,DXS,DEXUS,identity,excluded_industry:reit
DYL.AX,DYL,Deep Yellow Limited,financial_data,ttm_ebitda_not_positive
DYM.AX,DYM,Dynamic Metals Limited,market_cap,below_min_market_cap:21327525
E25.AX,E25,Element 25 Limited,financial_data,ttm_ebitda_not_positive
E79.AX,E79,E79 Gold Mines Limited,market_cap,below_min_market_cap:7058509
EAU.AX,EAU,EAU Lithium Limited,market_cap,below_min_market_cap:20700165
EAX.AX,EAX,Energy Action Limited,market_cap,below_min_market_cap:11053078
EBR.AX,EBR,"EBR Systems, Inc.",financial_data,ttm_ebitda_not_positive
ECH.AX,ECH,Echelon Resources Limited,expected_fcf,expected_fcf_not_positive
ECL.AX,ECL,Excelsior Capital Limited,market_cap,below_min_market_cap:19639746
ECS.AX,ECS,ECS Botanics Holdings Ltd,market_cap,below_min_market_cap:6849410
ECT.AX,ECT,Environmental Clean Technologies Limited,market_cap,below_min_market_cap:36779421
EDE.AX,EDE,Eden Innovations Ltd,market_cap,below_min_market_cap:27933361
EE1.AX,EE1,Earths Energy Limited,market_cap,below_min_market_cap:2674953
EF2.AX,EF2,ENERGYFUEL CDI 1:1 [EF2],financial_data,ttm_ebitda_not_positive
EFE.AX,EFE,Eastern Resources Limited,market_cap,below_min_market_cap:2588580
EFR.AX,EFR,Everflow Resources Limited,market_cap,market_cap_unavailable
